resource_id,title_ru,subject_name,topic_name,difficulty_level,content_type,estimated_minutes,language,grade_min,grade_max,quality_score,popularity_score,exam_focus,interactivity_score
RES_1000,Конспект: Grammar Rules,Английский язык,Grammar Rules,3,summary,43,ru,7,8,3.6,5.1,0,0.31
RES_1001,Краткий обзор Таблица Менделеева,Химия,Таблица Менделеева,4,summary,6,ru,8,10,3.8,3.7,0,0.55
RES_1002,Шпаргалка по Логарифмы,Математика,Логарифмы,2,article,5,ru,9,11,5.0,5.2,1,0.74
RES_1003,Практические задачи: Тригонометрия,Математика,Тригонометрия,4,practice,13,ru,8,10,3.8,3.2,1,0.69
RES_1004,Флэш-карточки: Listening Practice,Английский язык,Listening Practice,4,flashcards,10,ru,8,10,4.4,1.3,1,0.56
RES_1005,Флэш-карточки: Электричество,Физика,Электричество,4,flashcards,44,en,7,9,4.6,5.9,0,0.97
RES_1006,Конспект: Анатомия человека,Биология,Анатомия человека,5,summary,5,ru,9,10,4.1,4.6,0,0.21
RES_1007,Шпаргалка по Органическая химия,Химия,Органическая химия,1,article,12,ru,9,10,3.7,8.8,1,0.46
RES_1008,Запоминаем Listening Practice,Английский язык,Listening Practice,5,flashcards,31,ru,9,11,4.1,9.7,1,0.78
RES_1009,Флэш-карточки: Listening Practice,Английский язык,Listening Practice,3,flashcards,19,ru,7,10,4.2,2.8,1,0.58
RES_1010,Упражнения по Средние века,История,Средние века,5,practice,19,en,9,12,3.8,1.7,0,0.33
RES_1011,Краткий обзор Термодинамика,Физика,Термодинамика,1,summary,32,en,7,9,3.8,9.0,0,0.85
RES_1012,Флэш-карточки: Клеточное деление,Биология,Клеточное деление,1,flashcards,17,en,7,10,3.5,5.6,0,0.38
RES_1013,Сборник задач Таблица Менделеева,Химия,Таблица Менделеева,3,practice,16,ru,8,9,4.2,3.7,0,0.23
RES_1014,Проверь себя: Тригонометрия,Математика,Тригонометрия,5,quiz,23,ru,7,8,4.3,5.0,0,0.67
RES_1015,Статья: Все о Listening Practice,Английский язык,Listening Practice,5,article,8,ru,8,10,3.6,8.5,0,0.35
RES_1016,Сборник задач Древний мир,История,Древний мир,4,practice,7,en,9,11,4.0,1.9,1,0.52
RES_1017,Интенсив по Vocabulary,Английский язык,Vocabulary,4,video,27,ru,7,8,4.5,3.1,0,0.99
RES_1018,Разбор темы Анатомия человека,Биология,Анатомия человека,1,video,41,en,8,9,3.8,3.5,1,0.88
RES_1019,Запоминаем Анатомия человека,Биология,Анатомия человека,1,flashcards,12,en,9,10,4.5,6.2,0,0.95
RES_1020,Проверь себя: Производные,Математика,Производные,2,quiz,39,ru,8,10,3.8,7.4,0,0.46
RES_1021,Статья: Все о Анатомия человека,Биология,Анатомия человека,1,article,8,ru,9,12,3.9,9.8,0,0.91
RES_1022,Тест: Кислоты и основания,Химия,Кислоты и основания,1,quiz,9,ru,9,10,4.2,6.1,1,0.23
RES_1023,Флэш-карточки: Анатомия человека,Биология,Анатомия человека,5,flashcards,41,kz,8,11,4.1,9.7,1,0.88
RES_1024,Краткий обзор Tenses,Английский язык,Tenses,1,summary,29,ru,9,11,4.8,9.4,0,0.37
RES_1025,Квиз по теме Vocabulary,Английский язык,Vocabulary,3,quiz,30,en,8,10,4.5,7.3,0,0.43
RES_1026,Теория: Vocabulary,Английский язык,Vocabulary,1,article,9,ru,7,9,4.7,6.8,1,0.84
RES_1027,Упражнения по Зоология,Биология,Зоология,2,practice,26,ru,9,12,3.7,9.8,1,0.89
RES_1028,Проверь себя: Геометрия,Математика,Геометрия,3,quiz,12,en,7,8,3.8,6.6,0,0.24
RES_1029,Шпаргалка по Генетика,Биология,Генетика,4,article,14,en,7,9,3.6,4.6,0,0.8
RES_1030,Тест: Кинематика,Физика,Кинематика,1,quiz,5,ru,7,8,3.9,1.8,0,0.95
RES_1031,Краткий обзор Производные,Математика,Производные,5,summary,16,ru,9,12,3.7,2.1,0,0.27
RES_1032,Запоминаем Tenses,Английский язык,Tenses,4,flashcards,30,ru,7,9,4.2,2.6,0,0.52
RES_1033,Упражнения по Кинематика,Физика,Кинематика,4,practice,23,ru,9,11,4.8,6.9,0,0.26
RES_1034,Интенсив по Vocabulary,Английский язык,Vocabulary,4,video,37,ru,8,11,4.3,9.5,0,0.97
RES_1035,Практические задачи: Оптика,Физика,Оптика,5,practice,6,ru,9,11,4.4,4.0,1,0.51
RES_1036,Запоминаем Термодинамика,Физика,Термодинамика,3,flashcards,8,ru,7,10,4.0,9.4,0,0.53
RES_1037,Упражнения по История Казахстана,История,История Казахстана,5,practice,39,ru,7,10,4.1,8.0,0,0.94
RES_1038,Интенсив по Средние века,История,Средние века,5,video,39,ru,9,10,4.9,5.5,1,0.46
RES_1039,Видео-урок: Кислоты и основания,Химия,Кислоты и основания,1,video,11,kz,9,10,4.5,5.3,0,0.27
RES_1040,Практические задачи: Древний мир,История,Древний мир,4,practice,40,kz,9,10,4.7,2.0,1,0.98
RES_1041,Тест: Базы данных,Информатика,Базы данных,3,quiz,15,ru,9,10,3.7,7.9,1,0.28
RES_1042,Краткий обзор Vocabulary,Английский язык,Vocabulary,2,summary,31,en,7,9,3.6,1.8,1,0.5
RES_1043,Интенсив по Геометрия,Математика,Геометрия,1,video,35,ru,7,9,4.1,7.3,0,0.46
RES_1044,Конспект: Базы данных,Информатика,Базы данных,2,summary,24,ru,8,10,3.7,6.8,1,0.67
RES_1045,Практические задачи: Алгоритмы,Информатика,Алгоритмы,1,practice,10,en,7,9,5.0,6.0,0,0.23
RES_1046,Практические задачи: Древний мир,История,Древний мир,4,practice,24,ru,9,12,3.7,3.0,0,1.0
RES_1047,Шпаргалка по Python основы,Информатика,Python основы,1,article,10,ru,9,11,3.7,4.0,0,0.72
RES_1048,Тест: Электричество,Физика,Электричество,1,quiz,21,ru,9,11,4.1,6.4,0,0.31
RES_1049,Запоминаем Органическая химия,Химия,Органическая химия,3,flashcards,29,ru,7,10,4.9,8.8,0,0.22
RES_1050,Квиз по теме Квадратные уравнения,Математика,Квадратные уравнения,1,quiz,30,ru,9,10,5.0,8.6,1,0.57
RES_1051,Видео-урок: Кислоты и основания,Химия,Кислоты и основания,4,video,35,en,7,8,4.9,6.3,1,0.81
RES_1052,Краткий обзор Органическая химия,Химия,Органическая химия,1,summary,17,ru,8,9,4.8,7.8,0,0.41
RES_1053,Проверь себя: Vocabulary,Английский язык,Vocabulary,3,quiz,16,en,9,11,5.0,1.8,1,0.67
RES_1054,Конспект: Listening Practice,Английский язык,Listening Practice,2,summary,43,ru,9,12,3.5,4.2,0,0.51
RES_1055,Тест: Кислоты и основания,Химия,Кислоты и основания,1,quiz,21,kz,9,11,3.7,9.3,0,0.41
RES_1056,Флэш-карточки: Вторая мировая война,История,Вторая мировая война,2,flashcards,15,ru,7,9,3.7,2.2,0,0.31
RES_1057,Практические задачи: Анатомия человека,Биология,Анатомия человека,3,practice,33,kz,9,12,4.4,3.0,1,0.48
RES_1058,Флэш-карточки: Кинематика,Физика,Кинематика,1,flashcards,16,ru,7,8,4.0,5.5,1,0.23
RES_1059,Флэш-карточки: Квадратные уравнения,Математика,Квадратные уравнения,3,flashcards,21,ru,9,10,4.7,7.7,0,0.37
RES_1060,Запоминаем Grammar Rules,Английский язык,Grammar Rules,2,flashcards,28,en,9,11,3.6,2.3,0,0.75
RES_1061,Шпаргалка по Vocabulary,Английский язык,Vocabulary,4,article,12,ru,7,9,4.1,1.9,1,0.35
RES_1062,Интенсив по Tenses,Английский язык,Tenses,2,video,21,ru,8,9,4.2,4.2,1,0.58
RES_1063,Запоминаем Зоология,Биология,Зоология,1,flashcards,41,ru,9,11,4.5,6.1,0,0.99
RES_1064,Видео-урок: История Казахстана,История,История Казахстана,5,video,8,en,8,10,3.6,8.3,0,0.87
RES_1065,Краткий обзор Кислоты и основания,Химия,Кислоты и основания,2,summary,10,kz,9,12,4.2,7.5,1,0.77
RES_1066,Квиз по теме Химические связи,Химия,Химические связи,5,quiz,30,ru,7,9,4.1,5.6,0,0.29
RES_1067,Флэш-карточки: Кинематика,Физика,Кинематика,4,flashcards,7,ru,7,10,4.0,2.2,0,0.99
RES_1068,Тест: Средние века,История,Средние века,5,quiz,13,ru,7,8,4.2,4.7,0,0.94
RES_1069,Упражнения по Сетевые технологии,Информатика,Сетевые технологии,5,practice,38,ru,9,10,3.6,7.7,0,0.87
RES_1070,Краткий обзор Органическая химия,Химия,Органическая химия,4,summary,25,ru,8,11,3.9,6.7,1,0.45
RES_1071,Квиз по теме Законы Ньютона,Физика,Законы Ньютона,3,quiz,37,en,7,9,4.3,3.1,1,0.51
RES_1072,Шпаргалка по Алгоритмы,Информатика,Алгоритмы,3,article,5,ru,8,10,4.0,2.3,1,0.7
RES_1073,Статья: Все о Генетика,Биология,Генетика,1,article,7,en,7,8,3.7,2.8,1,0.6
RES_1074,Запоминаем Законы Ньютона,Физика,Законы Ньютона,5,flashcards,40,ru,9,12,4.4,5.5,0,0.59
RES_1075,Краткий обзор Анатомия человека,Биология,Анатомия человека,3,summary,40,ru,9,12,3.9,4.1,0,0.93
RES_1076,Проверь себя: Python основы,Информатика,Python основы,3,quiz,44,ru,8,9,4.4,1.2,1,0.95
RES_1077,Практические задачи: Анатомия человека,Биология,Анатомия человека,5,practice,32,ru,9,11,3.6,1.7,0,0.87
RES_1078,Разбор темы Кислоты и основания,Химия,Кислоты и основания,5,video,40,ru,7,9,4.9,8.8,0,0.67
RES_1079,Видео-урок: Древний мир,История,Древний мир,1,video,30,ru,8,9,4.1,5.8,1,0.48
RES_1080,Квиз по теме Оптика,Физика,Оптика,1,quiz,28,ru,9,12,3.7,1.3,0,0.82
RES_1081,Проверь себя: Таблица Менделеева,Химия,Таблица Менделеева,5,quiz,21,kz,7,10,3.7,4.7,0,1.0
RES_1082,Краткий обзор Квадратные уравнения,Математика,Квадратные уравнения,3,summary,36,ru,9,12,4.4,4.4,1,0.67
RES_1083,Проверь себя: Логарифмы,Математика,Логарифмы,4,quiz,34,ru,7,9,3.7,2.6,1,0.96
RES_1084,Теория: Термодинамика,Физика,Термодинамика,2,article,9,ru,7,10,4.6,6.9,0,0.38
RES_1085,Краткий обзор Listening Practice,Английский язык,Listening Practice,1,summary,7,en,9,10,4.3,7.5,1,0.99
